rule_id,rule_family,base_rule_id,flip_policy,reset_ordinal_bucket,event_count,closed_adr,open_unrealized_adr,win_rate,average_win_adr,average_loss_adr,worst_loss_adr,average_adverse_excursion_adr,flip_loss_adr,final_open_loss_adr,worst_pair,worst_pair_loss_adr,content_hash
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,initial_cycle,6489,3572.422303,-96.517326,0.991054,0.86416,-34.134613,-357.793296,-4.409335,-1979.807567,-96.517326,AUDCAD,-363.752891,E07EEB862C6FFB4F77FE5A8C30DB5A712125DEBDB85EACCC2A76DBC7DD961052
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,reset_1,8201,5606.675393,-119.13396,0.9889,0.889639,-17.644222,-265.786521,-4.542041,-1605.624211,-119.13396,AUDNZD,-328.062763,3A718D25A033A60A2DD320C6E9126C1B0D2FD8EA459011C423AD05E35C96E818
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,terminal_after_reset_3,6165,5272.805365,0,1,0.855281,,0,-1.409455,0,0,AUDCAD,0,6B7F02CB78837EE6C4912257EDD6C3DAD3F5DD4247DB93ADEBE2BB62F6CAF672
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,reset_2,1127,-429.955528,-2092.568746,0.894034,1.112435,-12.998661,-129.307259,-20.32381,-1546.840617,-2092.632803,AUDNZD,-2092.650827,9686EA9365633CEC6B7815BDB3EAF91929B3B7961C7531D6FBFC336F77EF7D6E
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,initial_cycle,5491,4530.536414,-119.230587,0.987603,1.134382,-23.741331,-281.416422,-6.008158,-1614.410539,-119.230587,AUDCHF,-311.649572,B6AECFE1F01D2B73E5A9951F676FF71E3D5E3C51D04CAA29A0699469135919A9
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,reset_1,7765,6400.552898,-2170.871112,0.984021,1.155191,-19.520039,-621.509684,-5.457543,-2420.484784,-2171.096516,AUDNZD,-2416.951198,0176DF6436011BC32A74F9381A161B4C874C00950EF907E821C0D67EEA99C9CF
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,terminal_after_reset_3,5070,5698.938595,0,1,1.124051,,0,-1.594666,0,0,AUDCAD,0,612CB672F15096B7EB44BF95ECA78D6B6B049947639D09951ACC02F4E16E0110
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,reset_2,1462,-505.943632,-60.982812,0.895461,1.349035,-14.884126,-224.20159,-17.896749,-2262.387166,-60.982812,USDCAD,-349.485503,DE010A9EF4EB22EFE036F60B62F5B248E68398E9E6E1141A603C8BA9FB02CE8A
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,initial_cycle,4595,4621.33003,-119.230587,0.982567,1.409781,-21.692144,-281.416422,-6.945056,-1735.371516,-119.230587,AUDCHF,-313.173265,328957A9F17DE7AE9DA77CAB9DD7E89A25B01A2B1FC9E88D31ECAF9BA77A5252
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,reset_1,7348,7370.565456,-875.410535,0.977257,1.432227,-17.407743,-628.671368,-6.295224,-2907.093022,-876.594087,AUDJPY,-863.140078,BF0B63D6DEDD1B01BF06722708527C426E0B8D2EEFE9A666FE6E1E325D5C9E74
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,terminal_after_reset_3,4077,5679.357619,0,1,1.393024,,0,-1.702941,0,0,AUDCAD,0,6A2FFBE74E635EB54CB6BF998E4F8C6A7866D403C3B7E6F2161ACA1A1C3AD52C
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,reset_2,1716,-185.789436,-3472.659113,0.902582,1.57199,-15.683791,-341.176551,-19.935418,-2603.509293,-3473.348238,AUDNZD,-3162.218622,0DA38683CD4A97B5521D887A5E2169299AA1705B2DDD5C32AB40846D59E460CB
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,initial_cycle,930,482.081734,0,0.988172,0.842199,-26.536326,-59.362056,-3.575678,0,0,CADJPY,-98.389577,6901D6358E056FF0678901B439BFECD6874F19AD3C02F732EAE6CD6DC72A21D2
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,reset_1,7376,4542.234127,-919.873541,0.993488,0.858916,-37.18318,-299.316284,-4.509052,0,-919.873541,AUDJPY,-791.32201,1A1A64317353759D78CE9C3A052712E345052B3B2140E9343A959711134009EF
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,reset_2,6334,4313.944261,-3417.125332,0.993362,0.870209,-27.507622,-322.819382,-5.492986,0,-3417.125332,AUDNZD,-3219.629264,C32998403C81ABC9DCF87D03355A3ADEAA21BD61ED7BCB356A50D9230C603DF3
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,reset_3,4968,2349.089193,-27.379447,0.991134,0.860954,-42.862332,-212.636378,-4.360749,0,-27.615781,AUDUSD,-366.349773,21A3B3A61A99B94733C843040B3F26D511C9087A03E235FA3A82285EC2EF7F13
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,reset_4,3544,47.287793,-80.324645,0.989825,0.861935,-82.533597,-1316.089692,-4.821713,0,-81.067186,CHFJPY,-1331.0954,50CB754992D175C23932F3E8E1A92D326C323E7AAFBB3519831DBB7F8EFA285A
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,reset_5,2304,-119.183327,-35.453641,0.984341,0.866023,-57.749821,-570.440412,-5.593509,0,-35.453641,EURCHF,-570.564712,8F50AB09A8709FB100027B52DDAB30205F9DA3F8FB4CD8D93F9FB38B06713C37
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,reset_6,1372,998.839871,0,0.991254,0.90311,-19.115777,-36.132187,-5.454561,0,0,EURAUD,-36.132187,658FD39C0CE1E042EF2219492F82147703DE363A3AACF29EE58EFD0856907EB3
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,reset_7,860,513.934294,0,0.99186,0.892357,-35.320948,-86.149265,-6.92931,0,0,AUDCAD,-86.149265,C988ABA919BA8B49E52A6FE1BA9F0D0E860012D81DD7E2A0186321669FA07994
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,reset_8,527,217.927979,0,0.988615,0.934432,-53.782184,-114.99242,-5.358566,0,0,GBPCHF,-114.99242,4EBD41C739D6D1C13B5C8FFD89F6240E1ECE1693EF28260D6CAAEB9145D824AB
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,reset_9,320,258.578676,0,0.996875,0.859131,-15.484258,-15.484258,-4.162573,0,0,CADCHF,-15.484258,1A64CA0FE9DBDA04F8B62888D6F563051DFE0614A07936F0325541613D6B2864
