group_type,activation_rule_id,protection_mode,origin_class,live_state_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-09-12,1,0,1,0,1,-0.085447,-0.011772,0,1.18,0,-0.085447,0.004943,0.2401,0.09039,-17.286466,-17.286466,0,0,0,1,0,0,0,B6C08C090F4529882DE407166BE53DDF251D8F13A1B36E0FA035044F27D82CA8
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-08-02,1,0,1,0,1,-0.139493,-0.011668,0,1.17,0,-0.139493,0.102474,0.139493,0.241967,-1.361253,-1.361253,0,0,0,1,0,0,0,23BD180C2D16FD69AAD95EFDF5F1868BC2907E20E43EE94DDE00A09A2F273195
start_date_origin,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,2019-05-31,1,0,1,0,1,-0.114574,-0.009361,0,0.94,0,-0.114574,0.28874,0.114574,0.403314,-0.396807,-0.396807,100,0,1,0,100,0.122781,0.263048,1A14A9B0C2606C2D5EC6EB025625E38A3985554E74E6225B2612B1ECD7A21C2A
start_date_origin,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,2019-11-22,1,0,1,0,1,-0.174591,-0.009257,0,0.93,0,-0.174591,0.268275,0.174591,0.442866,-0.650791,-0.650791,100,0,1,0,100,0.234626,0.338746,EFD0D83FC5C3D729B56D184B48793F8CA895373FB167547DDD5CFE8CF000894F
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-12-12,1,0,1,0,1,-0.258222,-0.009196,0,0.92,0,-0.258222,0.015013,0.282242,0.273235,-17.199893,-17.199893,0,100,0,1,0,0,0,C7D51D84942652F361307449F53C0BFE760DD86FB7061F973B6B88DD64494FFD
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-11-15,1,0,1,0,1,-0.125399,-0.009149,0,0.91,0,-0.125399,0.164271,0.185179,0.28967,-0.763367,-0.763367,0,0,0,1,0,0,0,F6DB7AA905417E0297AC070B818DB7D9AB74C09D3993C3A9A93F226A6B14F1FF
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-07-01,1,0,1,0,1,-0.127079,-0.008717,0,0.87,0,-0.127079,0,0.198562,0.127079,,,0,0,0,1,0,0,0,40472562FB7A069BEA885834453B8E3F6CA25EE099B7E8964CEE7B9348ABF4CB
start_date_origin,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,2020-01-02,1,0,1,0,2,-0.056504,-0.008381,0,0.84,0,-0.056504,0.277163,0.25448,0.333667,-0.203866,-0.203866,100,100,1,0,100,0.117992,0.22583,6B4773C299086AA227B38527F39C3F27476AB000451D9F022931489B6913E1B4
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-05-24,1,0,1,0,2,-0.191856,-0.008229,0,0.82,0,-0.191856,0.093553,0.322619,0.285409,-2.050773,-2.050773,0,100,0,1,0,0,0,D041822290368F818437AFE8086C57521D97AD9CB9D39EF1FC54122D8456F07B
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-10-31,1,0,1,0,2,-0.20789,-0.007468,0,0.75,0,-0.20789,0.137581,0.425575,0.345471,-1.511037,-1.511037,0,100,0,1,0,0,0,9D108C1112B1B7EF6B7592E5B6C7009B159BF71E2F64E5A03C9EE0ECF6594080
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-07-26,1,0,1,0,1,-0.099669,-0.007222,0,0.72,0,-0.099669,0.182322,0.099669,0.281991,-0.546665,-0.546665,0,0,0,1,0,0,0,6F458055BD8E38E870EC0ABC8A0F0086CB5385B2E23C9371AFDB227E699D7DCC
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-05-16,1,0,1,0,1,-0.059431,-0.00633,0,0.63,0,-0.059431,0.103735,0.162085,0.163166,-0.572912,-0.572912,0,0,0,1,0,0,0,82A4826AFA6118E474EF2569379BD52650CD886938EBC39F89333CF6FB9B96AC
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-06-03,2,0,2,0,2,-0.070612,-0.006006,0,0.6,0,-0.035306,0.060888,0.144082,0.096194,-0.579856,-0.580725,0,0,0,2,0,0,0,CA2F41BFFEB0F00C5C16F0892C057D843E57F11AA84596B7D2DB4FA9B07F20C7
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-08-27,1,0,1,0,2,-0.040384,-0.005934,0,0.59,0,-0.040384,0.102709,0.3118,0.143093,-0.393189,-0.393189,0,100,0,1,0,0,0,BA58B4A77E53A3A91E9C1B7C6E38795AF33BA9C4DB8ED06FCB3DA3DB4AA3BAFD
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-05-17,1,0,1,0,1,-0.076519,-0.005768,0,0.58,0,-0.076519,0.070173,0.251654,0.146692,-1.090434,-1.090434,0,0,0,1,0,0,0,CB5A7E86EBB872008AC300BD193C870372A51F55BA4F2E1F6986B6C283E733E7
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-10-09,1,0,1,0,1,-0.125143,-0.005005,0,0.5,0,-0.125143,0.129386,0.135749,0.254529,-0.967207,-0.967207,0,0,0,1,0,0,0,8BC0F9EA4D2FDBF8AE2923C116CFB873788D781045348204587B138B671083CC
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-08-27,1,0,1,0,1,-0.036984,-0.004858,0,0.49,0,-0.036984,0.120638,0.135607,0.157622,-0.30657,-0.30657,0,0,0,1,0,0,0,10C98DE74487614C6A9F98DCD2DDD3622AA40FC0C193561EBFD046757E4AF1B5
start_date_origin,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,2019-05-15,1,0,1,0,1,-0.04309,-0.004814,0,0.48,0,-0.04309,0.364117,0.086181,0.407207,-0.118341,-0.118341,100,0,1,0,100,0.155431,0.281319,B420E2C726A71C3FEB85287A4BF58E9AC8D0BFB06AE7E2B491AF48723CCA4ABC
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-08-20,1,0,1,0,1,-0.039784,-0.00443,0,0.44,0,-0.039784,0.071613,0.111397,0.111397,-0.555542,-0.555542,0,0,0,1,0,0,0,8BE5341BFB86942DEDB7162834A23877D3240F55FA4826E33E3B963274C33FDD
start_date_origin,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,2019-11-04,1,0,1,0,2,-0.037325,-0.003603,0,0.36,0,-0.037325,0.171795,0.327949,0.20912,-0.217265,-0.217265,0,100,0,1,0,0,0,8A60488461342D9B58375456CD72AEC57866E484F9EC7559E3E8B30425122CB8
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-04-15,1,0,1,0,1,-0.065913,-0.002981,0,0.3,0,-0.065913,0.080331,0.113288,0.146244,-0.820518,-0.820518,0,0,0,1,0,0,0,E6F1582C3D15FBFD75481E98CAF0ED4F1971E18DC55AEE4A5F219CF7DF3A2609
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-05-21,1,0,1,0,1,-0.034968,-0.002663,0,0.27,0,-0.034968,0.076492,0.158448,0.11146,-0.457146,-0.457146,0,0,0,1,0,0,0,49DDCBA6AF653FD185090180A16F1D7B4689DCBD6FD60BA316CC282E6772B5AD
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-12-27,1,0,1,0,1,-0.046215,-0.002281,0,0.23,0,-0.046215,0.07607,0.046215,0.122285,-0.607533,-0.607533,0,0,0,1,0,0,0,E5B84A7C686C2EC90F325D15C4936338FE9972C080FF460CA5A78989B4F96846
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-07-22,1,0,1,0,1,-0.026885,-0.002081,0,0.21,0,-0.026885,0.188189,0.273322,0.215074,-0.142862,-0.142862,0,0,0,1,0,0,0,28D3CD463C7548A739EA2C7942F913D0B933ACBAF3E523EA77A78FF010DBA675
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-06-14,1,0,1,0,1,-0.023157,-0.002043,0,0.2,0,-0.023157,0.126891,0.065311,0.150048,-0.182495,-0.182495,0,0,0,1,0,0,0,F7F31B21F7F0F9CF6798BE9DFFC381B3B04B18BE92815587B0C732FA58BDC0E5
start_date_origin,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,2019-05-29,1,0,1,0,1,-0.040066,-0.00136,0,0.14,0,-0.040066,0.33723,0.070117,0.377296,-0.118809,-0.118809,100,0,1,0,100,0.077296,0.227296,4198481B5D7A88C32777C74D84574ED30D8F1B4AF7F050BD252C5B9D5B5842AE
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-06-10,1,0,1,0,1,-0.011214,-0.001127,0,0.11,0,-0.011214,0.123357,0.085976,0.134571,-0.090907,-0.090907,0,0,0,1,0,0,0,C6C7D3F912D252553B94B6BABF18594B46AB87D32BB82E0CE63257B7F59363DA
start_date_origin,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,2019-07-03,1,0,1,0,1,-0.003559,-0.001113,0,0.11,0,-0.003559,0.092563,0.121043,0.096122,-0.038449,-0.038449,0,0,0,1,0,0,0,C930A9E045D400A4807CAB9967DEB43E4A91BB7F04B34D61D8667EDF0879C67C
start_date_origin,triangle_v0_no_candidate_b,baseline,eod_green_leftover,,,,,2019-09-04,1,0,1,0,1,0,-0.000579,0,0.06,0,0,0.156067,0.128818,0.156067,0,0,0,0,0,1,0,0,0,B25D73353FB4898106D1979DA4564F6FFDFD567FDE7E38E70AB409AAA1133A2B
start_date_origin,triangle_v0_no_candidate_b,baseline,eod_green_leftover,,,,,2019-10-03,1,0,1,0,1,0.002453,-0.000522,0,0.05,0,0.002453,0.019617,0.115244,0.017164,0.125045,0.125045,0,0,0,1,0,0,0,1CFAE98582AD3958170C3404D615A926287B9A7EE674B38DA79D2214287A1B9E
start_date_origin,triangle_v0_no_candidate_b,baseline,green_profit_leak,,,,,2019-09-24,1,0,1,0,1,0.013022,-0.000059,0,0.01,0,0.013022,0.253933,0.06077,0.240911,0.051281,0.051281,100,0,1,0,100,0,0.117428,8F59A4890CAA41E6DFF49C39B13D1B57CF069BFE68F14F6B9280E18C283032C3
