pair,direction,entry_time,entry_price_raw,entry_price,stop,tp,exit_time,exit_price_raw,exit_price,pnl_pips,pnl_r,reason_exit,spread,slippage,session_ref_high,session_ref_low
GBPCAD,short,2021-08-04 04:05:00-04:00,1.74544,1.7453450000000001,1.7465,1.74144,2021-08-04 04:45:00-04:00,1.7465,1.746595,12.499999999997513,1.082251082251059,sl,1.5,0.2,1.74546,1.74321
GBPAUD,long,2021-08-04 04:25:00-04:00,1.8784,1.878495,1.87726,1.8824,2021-08-04 04:40:00-04:00,1.87726,1.877165,-13.300000000000534,-1.0769230769230353,sl,1.5,0.2,1.88226,1.87981
EURGBP,long,2021-08-04 05:25:00-04:00,0.85148,0.8515750000000001,0.8504,0.85548,2021-08-04 06:00:00-04:00,0.85085,0.8507549999999999,-8.20000000000154,-0.6978723404256408,time_stop,1.5,0.2,0.85328,0.85224
AUDNZD,short,2021-08-05 03:30:00-04:00,1.04802,1.047925,1.0491,1.04402,2021-08-05 04:45:00-04:00,1.0491,1.0491949999999999,12.699999999998823,1.080851063829755,sl,1.5,0.2,1.04845,1.04753
NZDCAD,short,2021-08-05 05:55:00-04:00,0.884,0.8839049999999999,0.88516,0.88,2021-08-05 06:00:00-04:00,0.88417,0.8842650000000001,3.60000000000138,0.2868525896415428,time_stop,1.5,0.2,0.88408,0.88272
EURCAD,long,2021-08-06 03:35:00-04:00,1.4786,1.4786949999999999,1.47745,1.4826,2021-08-06 04:20:00-04:00,1.47745,1.477355,-13.399999999998968,-1.0763052208835027,sl,1.5,0.2,1.47978,1.47839
GBPCHF,long,2021-08-06 03:55:00-04:00,1.26344,1.2635349999999999,1.26231,1.26744,2021-08-06 06:00:00-04:00,1.26345,1.263355,-1.7999999999984695,-0.14693877551010198,time_stop,1.5,0.2,1.26398,1.26269
EURNZD,long,2021-08-06 03:55:00-04:00,1.67796,1.6780549999999999,1.67686,1.68196,2021-08-06 04:05:00-04:00,1.67686,1.676765,-12.899999999997913,-1.079497907949765,sl,1.5,0.2,1.67949,1.6772
NZDJPY,long,2021-08-06 04:15:00-04:00,77.38,77.38949999999998,77.30499999999999,77.78,2021-08-06 06:00:00-04:00,77.428,77.41850000000001,2.9000000000024784,0.34319526627251773,time_stop,1.5,0.2,77.448,77.344
GBPCAD,short,2021-08-06 05:35:00-04:00,1.74156,1.741465,1.74252,1.73756,2021-08-06 06:00:00-04:00,1.74068,1.740775,-6.900000000000794,-0.6540284360190152,time_stop,1.5,0.2,1.74169,1.74056
